id,site,source,rock,km_used,km_min,km_max,mass_t,mode,evidence,region,site_lat,site_lon,source_lat,source_lon,source_precision,refs
GMB-orthogneiss,Grand Menhir Brise d Er Grah,Orthogneiss sector Auray / Ste-Anne-d Auray / Clehuer,Orthogneiss,10,4,12,300,overland / ria,high,Brittany,47.57194,-2.95056,47.665,-2.983,sector-centroid,Le Roux 1998; Sellier 1995; Le Roux et al. 2006
GAV-refit,Gavrinis capstone (refit),Broken Locmariaquer orthogneiss stele,Carved orthogneiss,4,3.5,4.5,20,water,high,Brittany,47.5712,-2.8984,47.5717,-2.9495,named-monument,Cassen et al. 2005
DIS-chemoulin,Tumulus de Dissignac,Pointe de Chemoulin / Batz peninsula facies,Coastal granite and metamorphic facies,8,6,10,,overland / coastal,medium,Brittany,47.2736,-2.2769,47.232,-2.299,sector-centroid,L Helgouach 1976
BAR-sterec,Cairn de Barnenez,Ilot Sterec granites,Granite (two varieties),1.2,1.1,1.2,,overland (not then an island),high,Brittany,48.6675,-3.8594,48.676,-3.853,named-outcrop,Giot Barnenez reports; Chauris identifications
BAR-stsamson,Cairn de Barnenez,Saint-Samson foreshore leucogranite,Porphyritic leucogranite,2.2,1.9,2.5,,overland / foreshore,high,Brittany,48.6675,-3.8594,48.661,-3.825,named-outcrop,Giot Barnenez reports
BOU-bathonian,Tumulus de Bougon,Bathonian flinty limestone quarry ~4 km,Bathonian limestone,4,3.5,4.5,90,overland,medium,West-central France,46.3739,-0.0647,46.36,-0.015,sector-centroid,Mohen Bougon programme
MEN-cruz,Dolmen de Menga,Cerro de la Cruz quarry,Calcarenite / calcirudite,0.9,0.85,1.0,150,overland downhill then into trenches,high,Andalusia,37.02417,-4.54861,37.0265,-4.5595,named-outcrop,Lozano Rodriguez et al. 2023
SOT-candon,Dolmen de Soto,Candon greywacke / western Sierra Morena suite,"Greywacke (plus quartzite, volcanic)",12,5,35,,overland,high,Andalusia,37.3422,-6.7375,37.385,-6.73,sector-centroid,Linares-Catela et al. 2021; Linares-Catela and Mora Molina 2018
ZAM-pluton,Anta Grande do Zambujeiro,Evora pluton porphyritic granite tors,Porphyritic granite,3.5,2,5,,overland upslope,medium,Alentejo,38.53917,-8.01417,38.555,-8.04,sector-centroid,Rocha and Bueno-Ramirez 2014
MAT-cabezas,"Matarrubilla basin, Valencina","Gypsiferous cataclasite, Las Cabezas de San Juan shore",Gypsiferous cataclasite,55,50,60,2.1,water (palaeo-estuary) then uphill,high,Andalusia,37.412,-6.047,36.9817,-5.9394,named-sector,Garcia Sanjuan et al. 2025
PAS-qtzarenite,"La Pastora tholos, Valencina",Palaeozoic quartzarenite north of Valencina,Palaeozoic quartzarenite,30,30,35,,overland / palaeo-estuary,high,Andalusia,37.4095,-6.042,37.65,-5.95,sector-centroid,La Pastora provenance 2024
ALB-pajarete,Alberite I-II,Cerro Pajarete / Las Montanas Jurassic limestone,Jurassic micritic limestone,8,4,8.5,8,overland,medium,Andalusia,36.847,-5.642,36.78,-5.58,named-sector,Ramos Munoz 1993
VDR-barroco,Vale de Rodrigo 1 menhir,Alto do Barroco muscovite granite,Muscovite granite,10,10,10,13.5,overland,high,Alentejo,38.55,-7.98,38.48,-7.9,named-outcrop,Kalb 1996
PUI-folg,Dolmen de Puigseslloses,Folgueroles Sandstone Formation,Arkose / hybrid sandstone,3,2.5,3.5,,overland,high,Catalonia,41.9386,2.318,41.922,2.348,named-formation,Clop et al. 2006
SH-bluestone-goedog,Stonehenge bluestones,Carn Goedog spotted dolerite,Spotted dolerite,230,220,240,3,sea / coastal then overland,high,Britain,51.17888,-1.82622,51.9735,-4.726,named-quarry,Bevins et al. 2020
SH-rhyolite-crf,Stonehenge rhyolite / Newall boulder,Craig Rhos-y-felin foliated rhyolite,Foliated rhyolite Groups A-C,230,220,240,2,sea / coastal then overland,high,Britain,51.17888,-1.82622,51.9919,-4.7447,named-quarry,Bevins et al. 2020
SH-altar,Stonehenge Altar Stone,Orcadian Basin ORS - Caithness / Inverness-Black Isle sector,Micaceous Old Red Sandstone,750,750,900,6,sea / east-coast (glacial relay insufficient),high,Britain,51.17888,-1.82622,58.45,-3.2,basin-sector,Clarke et al. 2024 Nature
SH-sarsen,Stonehenge sarsens (50 of 52),"West Woods, Marlborough Downs",Sarsen (silcrete),25,24,26,20,overland via Vale of Pewsey / Avon,high,Britain,51.17888,-1.82622,51.392,-1.72,named-plateau,Nash et al. 2020
DA-brimham,Devil s Arrows,Brimham Rocks Millstone Grit,Millstone Grit,18,18,18,25,overland,high,Britain,54.0928,-1.4036,54.0803,-1.6858,named-outcrop,Clarke et al. 2026 Proc. R. Soc. A
BRO-vestra,Ring of Brodgar / Stones of Stenness,Vestra Fiold quarry,Old Red Sandstone flag,7,6,8,,overland,high,Orkney,59.0014,-3.2297,59.07,-3.312,excavated-quarry,Richards 2013
NEW-clogher,Newgrange / Knowth kerbstones,Clogher Head greywacke,Greywacke,20,20,32,2,coastal then river,high,Ireland,53.6947,-6.4756,53.793,-6.218,named-coast,Mitchell 1992; Cooney 2000
NEW-wicklow,Newgrange quartz facade,Wicklow vein quartz (Glendalough area),White vein quartz cobbles,60,50,70,,overland / coastal,high,Ireland,53.6947,-6.4756,53.0106,-6.3275,named-sector,Meighan et al. 2003
LHB-foreshore,La Hougue Bie,Eastern Jersey outcrops and foreshore,At least nine island lithologies,5,2,8,,overland uphill from shore,medium,Channel Islands,49.2004,-2.0639,49.18,-2.02,island-sector,Patton 1992
LOU-poudingue,Loudunais megaliths,Polygenic conglomerate outcrops ~12 km,Polygenic conglomerate (poudingue),12,11,13,,overland,medium,West-central France,47.0097,0.0811,47.09,0.18,sector-centroid,Mens 2016; Mens et al. 2022
PER-angoumois,Petite Perotte,Callovian / Oxfordian limestone sources 4-7 km,Jurassic limestone,6,4,7,40,overland,medium,West-central France,45.914,0.168,45.96,0.22,sector-centroid,"Ard, Mens and Poncet 2016"
AUV-pessat,Pessat-Villeneuve menhir (Auvergne set),Western volcanic / plateau source used by Limagne erections,Basalt and other volcanics,14,12,15,10,overland inland,medium,Massif Central,45.928,3.159,45.93,2.98,sector-centroid,Surmely et al. 1996
ROU-pierre-plantee,Pierre Plantee / Rouergue statue-menhirs,Local granite / sandstone facies 3-18 km,Granite (this example); group also uses sandstones,8,3,18,9.5,overland upland,medium,Massif Central,43.7,2.69,43.71,2.66,sector-centroid,Maille 2010
VIL-mylonite,Dolmen de El Torrejon (Villarmayor),Juzbado-Traguntia shear-zone mylonite / two-mica granite,Mylonitised granite and two-mica granite,3.6,3.0,4.2,2.4,overland,medium,Northern Meseta,41.154,-5.706,41.178,-5.735,sector-centroid,"Lopez Plaza, Lopez Plaza and Lopez Moro 2008"
TOR-leucogranite,Dolmen de Torrecilla (statue-menhir),Tourmaline leucogranite band (southern granite),Tourmaline leucogranite,9.5,9.5,9.5,,overland,medium,Northern Meseta,40.985,-5.78,40.92,-5.85,sector-centroid,"Lopez Plaza, Lopez Plaza and Lopez Moro 2008"
KER-porzmeur,Allee couverte de Kernic (Guinirvit),Porz Meur / Plouescat granite outcrops (three sites),Plouescat granite (three facies),1.0,0.7,1.0,4,overland / foreshore,high,Brittany,48.65682,-4.21596,48.661,-4.207,named-outcrop,"Gorczynska, Le Gall, Stephan and Pailler 2023"
SOT-allochthon,Dolmen de Soto (allochthonous suite),Niebla calcarenite / western Sierra Morena igneous-sedimentary suite,"Calcarenite, sandstone, dacite (not greywacke)",30,20,60,,overland / palaeo-estuary,medium,Andalusia,37.35222,-6.75139,37.36,-6.55,sector-centroid,Linares Catela and Mora Molina 2018; Linares-Catela 2023
GG-poudingue,Pierre Levee du Grand Gat,Siliceous conglomerate (poudingue) outcrops ~10-11 km,Siliceous conglomerate (capstone); chamber also Noirlieu granodiorite + Thouars microgranite <=3 km,10.5,10,11,,overland,high,West-central France,46.8665,-0.4485,46.9,-0.33,sector-centroid,Poncet and Mens 2023
PAS-granite,"La Pastora tholos, Valencina (granite)",Guillena-Gerena batholith (Sierra Norte de Sevilla),Jointed epizonal granite,15,14,16,,overland,high,Andalusia,37.4095,-6.042,37.52,-6.05,named-sector,Caceres et al. 2024 Minerals 14(2):194
MON-gerena,"Montelirio tholos corridor, Valencina",Gerena-Aznalcollar Paleozoic granite and grey/green shale,Granite and shale (42 corridor capstones; sandstone from Aljarafe shorter),17,15,20,,overland,high,Andalusia,37.415,-6.035,37.53,-6.1,named-sector,Fernandez Flores et al. Montelirio monograph
RAB-capstone,Anta de Rabuje 1,Compatible non-local outcrop (not nearby stratum),Granitoid / slab not matching adjacent bedrock,8,6,8,,overland,medium,Alentejo,39.05,-7.38,39.08,-7.3,sector-centroid,Boaventura 2000; Boaventura and Moita 2012
AIZ-quartzarenite,Aizkomendi dolmen (Eguilaz),"Albian quartzarenite, Urkilla / Aizkorri sector",Albian quartzarenite (also Paleocene limestone >=3 km from Entzia-Iturrieta),5,5,8,4.5,overland,high,Northern Iberia,42.861,-2.275,42.9,-2.33,named-sector,Martinez-Torres et al. 2017; Vegas et al. 1992
VIL-montipranu,Villaperuccio menhirs (Terrazzu / Is Pireddas),Monti Pranu-Tratalias ignimbrite quarry,Ignimbrite,8.0,7.0,8.6,,overland,medium,Sardinia,39.072,8.675,39.1,8.6,named-quarry,Serra 2015-2021 ArcheoArte
NEW-mourne,Newgrange granite facade cobbles,Mourne / Newry granite,Granite cobbles,50,45,55,,overland / coastal,medium,Ireland,53.6947,-6.4756,54.15,-6.05,named-sector,Mitchell 1992; Meighan et al. 2003
BRO-houton,Ring of Brodgar (yellow sandstone),Houton (Orphir) Eday Group sandstone,Yellow Old Red Sandstone,14,12,15,,overland,medium,Orkney,59.0014,-3.2297,58.93,-3.18,named-sector,Richards 2013
MAE-staneyhill,Maeshowe,Staneyhill excavated quarry,Old Red Sandstone flag,3,2.5,3.5,,overland,high,Orkney,58.9981,-3.1883,59.015,-3.17,excavated-quarry,Richards et al. 2013
FRE-redondo,Freixo-Redondo dolmens (group envelope),Petrographically matched outcrops (not nearest exposures),Granodiorite and related,2.0,0.8,3.5,,overland,high,Alentejo,38.62,-7.78,38.635,-7.76,sector-centroid,Boaventura et al. 2020 Megaliths and Geology
TDM-sabals,Table des Marchands (gres a sabals slab),East Golfe du Morbihan sabal sandstone outcrops,Gres a sabals / gres ladere,10,10,15,,overland / coastal,medium,Brittany,47.5717,-2.9495,47.55,-2.82,sector-centroid,Le Roux Locmariaquer geology; L Helgouach synthesis
WM-cerrig,Waun Mawn circle,Cerrig Lladron unspotted dolerite,Unspotted dolerite,2.4,2.2,2.6,,overland,high,Britain,51.972,-4.791,51.965,-4.765,named-outcrop,Pearce / Bevins et al. 2022 JAS Reports
